"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";"TP_SIGNAL_NAME";
"3";"";"2,54/1,0";"2,54/1,0";"GND, RX, TX";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"1";"";"";
"2";"";"SMD5";"SMD2,54-5,08";"GNDH, GNDL";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"21";"";"";
"4";"0.1uf";"C-EUC0603";"C0603";"CNEG5V, CNEG5V-1, CNPN2, CNPN2-1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"2";"0.22uf";"C-EUC0603";"C0603";"CNPN1, CNPN1-1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"40";"0.47uf";"C-EUC0603";"C0603";"CCB0, CCB0-1, CCB1, CCB1-1, CCB2, CCB2-1, CCB3, CCB3-1, CCB4, CCB4-1, CCB5, CCB5-1, CCB6, CCB6-1, CCB7, CCB7-1, CCB8, CCB8-1, CCB9, CCB9-1, CVC0, CVC0-1, CVC1, CVC1-1, CVC2, CVC2-1, CVC3, CVC3-1, CVC4, CVC4-1, CVC5, CVC5-1, CVC6, CVC6-1, CVC7, CVC7-1, CVC8, CVC8-1, CVC9, CVC9-1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"2";"1 uF";"C-EUC0603";"C0603";"CTSREF1, CTSREF2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"22";"10";"R-US_R1210";"R1210";"RCB0, RCB0-1, RCB1, RCB1-1, RCB2, RCB2-1, RCB3, RCB3-1, RCB4, RCB4-1, RCB5, RCB5-1, RCB6, RCB6-1, RCB7, RCB7-1, RCB8, RCB8-1, RCB9, RCB9-1, RCB10, RCB10-1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"0";"R";"";
"2";"10 nf";"C-EUC0603";"C0603";"CBAT, CBAT-1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"22";"100";"R-US_R0603";"R0603";"RVC0, RVC0-1, RVC1, RVC1-1, RVC2, RVC2-1, RVC3, RVC3-1, RVC4, RVC4-1, RVC5, RVC5-1, RVC6, RVC6-1, RVC7, RVC7-1, RVC8, RVC8-1, RVC9, RVC9-1, RVC10, RVC10-1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"77";"R";"";
"16";"10k";"R-US_R0603";"R0603";"TEMPR1, TEMPR2, TEMPR3, TEMPR4, TEMPR5, TEMPR6, TEMPR7, TEMPR8, TEMPR9, TEMPR10, TEMPR11, TEMPR12, TEMPR13, TEMPR14, TEMPR15, TEMPR16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"77";"R";"";
"4";"1k";"R-US_R0603";"R0603";"RCOMH, RCOML, RCOMMH, RCOMML";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"77";"R";"";
"6";"1uf";"C-EUC0603";"C0603";"CAVDD, CAVDD-1, CDVDD, CDVDD-1, CREFHP, CREFHP-1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"6";"2.2nf";"C-EUC0603";"C0603";"CCOMHN, CCOMHP, CCOMLN, CCOMLP, CCOMMN, CCOMMP";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"4";"220 pF";"C-EUC0603";"C0603";"CCOMHNG, CCOMHPG, CCOMLNG, CCOMLPG";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"4";"220pf";"C-EUC0603";"C0603";"CCOMMHN, CCOMMHP, CCOMMLN, CCOMMLP";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"2";"30";"R-US_R0603";"R0603";"RBAT, RBAT-1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"77";"R";"";
"2";"4.7uf";"C-EUC0603";"C0603";"CCVDD, CCVDD-1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"73";"C";"";
"10";"49";"R-US_R0603";"R0603";"RCOMHN, RCOMHP, RCOMLN, RCOMLP, RCOMMHN, RCOMMHP, RCOMMLN, RCOMMLP, RNPN, RNPN-1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"77";"R";"";
"4";"5566-12";"5566-12";"5566-12";"CBH, CBL, VCH, VCL";"Mini FIT connector 12 pol";"";"";"";"";"MOLEX";"";"";"";"unknown";"unknown";"0";"";"";
"2";"5566-16";"5566-16";"5566-16";"TEMPH, TEMPL";"Mini FIT connector 16 pol";"";"";"";"";"MOLEX";"";"";"";"unknown";"unknown";"0";"";"";
"3";"5566-2";"5566-2";"5566-2";"COMH, COML, SR";"Mini FIT connector 2 pol";"";"";"";"";"MOLEX";"";"";"";"1822072";"unknown";"0";"";"";
"1";"Disable UART";"SJ";"SJ";"DISABLE_UART";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"2";"ESDAVLC6-2BLY";"ESDAVLC6-2BLY";"SOT95P255X150-3N";"ESDCOMH, ESDCOML";"STMICROELECTRONICS - ESDAVLC6-2BLY - ESD Protection Device, 17 V, SOT-23, 3 Pins, 5 V, 140 W, ESDA Transil Series";"STMICROELECTRONICS - ESDAVLC6-2BLY - ESD Protection Device, 17 V, SOT-23, 3 Pins, 5 V, 140 W, ESDA Transil Series";"1.5mm";"STMicroelectronics";"ESDAVLC6-2BLY";"";"511-ESDAVLC6-2BLY";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/ESDAVLC6-2BLY?qs=l7cgNqFNU1iH2e21evvYsA%3D%3D";"";"";"";"";"";"";
"2";"PBHV8115X, 115";"BC868-NPN-SOT89-BCE";"SOT89-BCE";"T1, T2";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"0";"";"";
"2";"PBQ79656PAPTQ1";"PBQ79656PAPTQ1";"QFP50P1200X1200X120-65N";"IC1, IC2";"BQ7965x-Q1 Family of 12S, 14S, 16S Precision Automotive Battery Monitor, Balancer and Integrated Hardware Protector with up to SafeTITM-26262 ASIL-D Compliance";"BQ7965x-Q1 Family of 12S, 14S, 16S Precision Automotive Battery Monitor, Balancer and Integrated Hardware Protector with up to SafeTITM-26262 ASIL-D Compliance";"1.2mm";"Texas Instruments";"PBQ79656PAPTQ1";"";"";"";"";"";"";"";"";"";
"1";"TPB2,54";"TPB2,54";"B2,54";"NFAULT";"Test pad";"";"";"";"";"";"";"";"";"";"";"3";"";"";
